"Statistic Label","Year","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2005","National - all residential properties","Base Jan 2005 = 100","105.5"
"Residential Property Price Index","2005","National - houses","Base Jan 2005 = 100","105.9"
"Residential Property Price Index","2005","National - apartments","Base Jan 2005 = 100","102.1"
"Residential Property Price Index","2005","Dublin - all residential properties","Base Jan 2005 = 100","106.9"
"Residential Property Price Index","2005","Dublin - houses","Base Jan 2005 = 100","107.5"
"Residential Property Price Index","2005","Dublin - apartments","Base Jan 2005 = 100","105.3"
"Residential Property Price Index","2005","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005","National excluding Dublin - all residential properties","Base Jan 2005 = 100","104.7"
"Residential Property Price Index","2005","National excluding Dublin - houses","Base Jan 2005 = 100","105.2"
"Residential Property Price Index","2005","National excluding Dublin - apartments","Base Jan 2005 = 100","96.9"
"Residential Property Price Index","2005","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006","National - all residential properties","Base Jan 2005 = 100","121.2"
"Residential Property Price Index","2006","National - houses","Base Jan 2005 = 100","122"
"Residential Property Price Index","2006","National - apartments","Base Jan 2005 = 100","116.3"
"Residential Property Price Index","2006","Dublin - all residential properties","Base Jan 2005 = 100","126.2"
"Residential Property Price Index","2006","Dublin - houses","Base Jan 2005 = 100","128.7"
"Residential Property Price Index","2006","Dublin - apartments","Base Jan 2005 = 100","118.9"
"Residential Property Price Index","2006","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006","National excluding Dublin - all residential properties","Base Jan 2005 = 100","118.4"
"Residential Property Price Index","2006","National excluding Dublin - houses","Base Jan 2005 = 100","118.9"
"Residential Property Price Index","2006","National excluding Dublin - apartments","Base Jan 2005 = 100","111.7"
"Residential Property Price Index","2006","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2007","National - all residential properties","Base Jan 2005 = 100","130.3"
"Residential Property Price Index","2007","National - houses","Base Jan 2005 = 100","131.5"
"Residential Property Price Index","2007","National - apartments","Base Jan 2005 = 100","123"
"Residential Property Price Index","2007","Dublin - all residential properties","Base Jan 2005 = 100","133.2"
"Residential Property Price Index","2007","Dublin - houses","Base Jan 2005 = 100","136.3"
"Residential Property Price Index","2007","Dublin - apartments","Base Jan 2005 = 100","124.2"
"Residential Property Price Index","2007","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2007","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2007","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2007","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2007","National excluding Dublin - all residential properties","Base Jan 2005 = 100","128.5"
"Residential Property Price Index","2007","National excluding Dublin - houses","Base Jan 2005 = 100","129.3"
"Residential Property Price Index","2007","National excluding Dublin - apartments","Base Jan 2005 = 100","118.7"
"Residential Property Price Index","2007","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2007","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2007","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2007","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2007","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2007","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2007","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2008","National - all residential properties","Base Jan 2005 = 100","121.2"
"Residential Property Price Index","2008","National - houses","Base Jan 2005 = 100","123"
"Residential Property Price Index","2008","National - apartments","Base Jan 2005 = 100","112"
"Residential Property Price Index","2008","Dublin - all residential properties","Base Jan 2005 = 100","121"
"Residential Property Price Index","2008","Dublin - houses","Base Jan 2005 = 100","125"
"Residential Property Price Index","2008","Dublin - apartments","Base Jan 2005 = 100","111.8"
"Residential Property Price Index","2008","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2008","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2008","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2008","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2008","National excluding Dublin - all residential properties","Base Jan 2005 = 100","121.1"
"Residential Property Price Index","2008","National excluding Dublin - houses","Base Jan 2005 = 100","122"
"Residential Property Price Index","2008","National excluding Dublin - apartments","Base Jan 2005 = 100","110"
"Residential Property Price Index","2008","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2008","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2008","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2008","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2008","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2008","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2008","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2009","National - all residential properties","Base Jan 2005 = 100","98"
"Residential Property Price Index","2009","National - houses","Base Jan 2005 = 100","100.9"
"Residential Property Price Index","2009","National - apartments","Base Jan 2005 = 100","82.2"
"Residential Property Price Index","2009","Dublin - all residential properties","Base Jan 2005 = 100","91.4"
"Residential Property Price Index","2009","Dublin - houses","Base Jan 2005 = 100","95.7"
"Residential Property Price Index","2009","Dublin - apartments","Base Jan 2005 = 100","81.3"
"Residential Property Price Index","2009","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2009","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2009","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2009","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2009","National excluding Dublin - all residential properties","Base Jan 2005 = 100","101"
"Residential Property Price Index","2009","National excluding Dublin - houses","Base Jan 2005 = 100","102.4"
"Residential Property Price Index","2009","National excluding Dublin - apartments","Base Jan 2005 = 100","83.5"
"Residential Property Price Index","2009","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2009","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2009","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2009","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2009","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2009","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2009","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2010","National - all residential properties","Base Jan 2005 = 100","84.8"
"Residential Property Price Index","2010","National - houses","Base Jan 2005 = 100","88"
"Residential Property Price Index","2010","National - apartments","Base Jan 2005 = 100","67.6"
"Residential Property Price Index","2010","Dublin - all residential properties","Base Jan 2005 = 100","75.9"
"Residential Property Price Index","2010","Dublin - houses","Base Jan 2005 = 100","79.7"
"Residential Property Price Index","2010","Dublin - apartments","Base Jan 2005 = 100","67"
"Residential Property Price Index","2010","Dublin City - houses","Base Jan 2005 = 100","77.1"
"Residential Property Price Index","2010","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","79.9"
"Residential Property Price Index","2010","Fingal - houses","Base Jan 2005 = 100","78.3"
"Residential Property Price Index","2010","South Dublin - houses","Base Jan 2005 = 100","81"
"Residential Property Price Index","2010","National excluding Dublin - all residential properties","Base Jan 2005 = 100","89"
"Residential Property Price Index","2010","National excluding Dublin - houses","Base Jan 2005 = 100","90.6"
"Residential Property Price Index","2010","National excluding Dublin - apartments","Base Jan 2005 = 100","68.3"
"Residential Property Price Index","2010","Border excluding Louth - houses","Base Jan 2005 = 100","89.3"
"Residential Property Price Index","2010","Midland - houses","Base Jan 2005 = 100","89.6"
"Residential Property Price Index","2010","West - houses","Base Jan 2005 = 100","91.3"
"Residential Property Price Index","2010","Mid-East including Louth - houses","Base Jan 2005 = 100","91"
"Residential Property Price Index","2010","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","94.4"
"Residential Property Price Index","2010","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","90"
"Residential Property Price Index","2010","South-West - houses","Base Jan 2005 = 100","91.2"
"Residential Property Price Index","2011","National - all residential properties","Base Jan 2005 = 100","70.3"
"Residential Property Price Index","2011","National - houses","Base Jan 2005 = 100","73"
"Residential Property Price Index","2011","National - apartments","Base Jan 2005 = 100","56.1"
"Residential Property Price Index","2011","Dublin - all residential properties","Base Jan 2005 = 100","63.7"
"Residential Property Price Index","2011","Dublin - houses","Base Jan 2005 = 100","66.8"
"Residential Property Price Index","2011","Dublin - apartments","Base Jan 2005 = 100","56.9"
"Residential Property Price Index","2011","Dublin City - houses","Base Jan 2005 = 100","65.6"
"Residential Property Price Index","2011","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","64.8"
"Residential Property Price Index","2011","Fingal - houses","Base Jan 2005 = 100","69.2"
"Residential Property Price Index","2011","South Dublin - houses","Base Jan 2005 = 100","70.9"
"Residential Property Price Index","2011","National excluding Dublin - all residential properties","Base Jan 2005 = 100","73.1"
"Residential Property Price Index","2011","National excluding Dublin - houses","Base Jan 2005 = 100","74.7"
"Residential Property Price Index","2011","National excluding Dublin - apartments","Base Jan 2005 = 100","51.9"
"Residential Property Price Index","2011","Border excluding Louth - houses","Base Jan 2005 = 100","74.8"
"Residential Property Price Index","2011","Midland - houses","Base Jan 2005 = 100","67.3"
"Residential Property Price Index","2011","West - houses","Base Jan 2005 = 100","76"
"Residential Property Price Index","2011","Mid-East including Louth - houses","Base Jan 2005 = 100","75.1"
"Residential Property Price Index","2011","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","77.9"
"Residential Property Price Index","2011","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","71"
"Residential Property Price Index","2011","South-West - houses","Base Jan 2005 = 100","75.5"
"Residential Property Price Index","2012","National - all residential properties","Base Jan 2005 = 100","60.9"
"Residential Property Price Index","2012","National - houses","Base Jan 2005 = 100","63.4"
"Residential Property Price Index","2012","National - apartments","Base Jan 2005 = 100","45.8"
"Residential Property Price Index","2012","Dublin - all residential properties","Base Jan 2005 = 100","56.3"
"Residential Property Price Index","2012","Dublin - houses","Base Jan 2005 = 100","59.5"
"Residential Property Price Index","2012","Dublin - apartments","Base Jan 2005 = 100","47.1"
"Residential Property Price Index","2012","Dublin City - houses","Base Jan 2005 = 100","55.7"
"Residential Property Price Index","2012","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","58.7"
"Residential Property Price Index","2012","Fingal - houses","Base Jan 2005 = 100","59.8"
"Residential Property Price Index","2012","South Dublin - houses","Base Jan 2005 = 100","60.8"
"Residential Property Price Index","2012","National excluding Dublin - all residential properties","Base Jan 2005 = 100","62"
"Residential Property Price Index","2012","National excluding Dublin - houses","Base Jan 2005 = 100","63.4"
"Residential Property Price Index","2012","National excluding Dublin - apartments","Base Jan 2005 = 100","43"
"Residential Property Price Index","2012","Border excluding Louth - houses","Base Jan 2005 = 100","59.3"
"Residential Property Price Index","2012","Midland - houses","Base Jan 2005 = 100","56.2"
"Residential Property Price Index","2012","West - houses","Base Jan 2005 = 100","64.2"
"Residential Property Price Index","2012","Mid-East including Louth - houses","Base Jan 2005 = 100","62.4"
"Residential Property Price Index","2012","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","65.7"
"Residential Property Price Index","2012","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","59.5"
"Residential Property Price Index","2012","South-West - houses","Base Jan 2005 = 100","66.2"
"Residential Property Price Index","2013","National - all residential properties","Base Jan 2005 = 100","61.6"
"Residential Property Price Index","2013","National - houses","Base Jan 2005 = 100","64.1"
"Residential Property Price Index","2013","National - apartments","Base Jan 2005 = 100","47.5"
"Residential Property Price Index","2013","Dublin - all residential properties","Base Jan 2005 = 100","61.8"
"Residential Property Price Index","2013","Dublin - houses","Base Jan 2005 = 100","65.8"
"Residential Property Price Index","2013","Dublin - apartments","Base Jan 2005 = 100","49.4"
"Residential Property Price Index","2013","Dublin City - houses","Base Jan 2005 = 100","62.3"
"Residential Property Price Index","2013","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","68.9"
"Residential Property Price Index","2013","Fingal - houses","Base Jan 2005 = 100","63.3"
"Residential Property Price Index","2013","South Dublin - houses","Base Jan 2005 = 100","66.6"
"Residential Property Price Index","2013","National excluding Dublin - all residential properties","Base Jan 2005 = 100","57.7"
"Residential Property Price Index","2013","National excluding Dublin - houses","Base Jan 2005 = 100","59"
"Residential Property Price Index","2013","National excluding Dublin - apartments","Base Jan 2005 = 100","41.4"
"Residential Property Price Index","2013","Border excluding Louth - houses","Base Jan 2005 = 100","50.3"
"Residential Property Price Index","2013","Midland - houses","Base Jan 2005 = 100","50.4"
"Residential Property Price Index","2013","West - houses","Base Jan 2005 = 100","58.9"
"Residential Property Price Index","2013","Mid-East including Louth - houses","Base Jan 2005 = 100","62.6"
"Residential Property Price Index","2013","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","56.1"
"Residential Property Price Index","2013","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","54.2"
"Residential Property Price Index","2013","South-West - houses","Base Jan 2005 = 100","62.7"
"Residential Property Price Index","2014","National - all residential properties","Base Jan 2005 = 100","71.8"
"Residential Property Price Index","2014","National - houses","Base Jan 2005 = 100","74.3"
"Residential Property Price Index","2014","National - apartments","Base Jan 2005 = 100","57.3"
"Residential Property Price Index","2014","Dublin - all residential properties","Base Jan 2005 = 100","76.7"
"Residential Property Price Index","2014","Dublin - houses","Base Jan 2005 = 100","81.4"
"Residential Property Price Index","2014","Dublin - apartments","Base Jan 2005 = 100","62.2"
"Residential Property Price Index","2014","Dublin City - houses","Base Jan 2005 = 100","80.5"
"Residential Property Price Index","2014","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","83.6"
"Residential Property Price Index","2014","Fingal - houses","Base Jan 2005 = 100","74.5"
"Residential Property Price Index","2014","South Dublin - houses","Base Jan 2005 = 100","82.5"
"Residential Property Price Index","2014","National excluding Dublin - all residential properties","Base Jan 2005 = 100","62.2"
"Residential Property Price Index","2014","National excluding Dublin - houses","Base Jan 2005 = 100","63.6"
"Residential Property Price Index","2014","National excluding Dublin - apartments","Base Jan 2005 = 100","44"
"Residential Property Price Index","2014","Border excluding Louth - houses","Base Jan 2005 = 100","50.6"
"Residential Property Price Index","2014","Midland - houses","Base Jan 2005 = 100","53.3"
"Residential Property Price Index","2014","West - houses","Base Jan 2005 = 100","60.4"
"Residential Property Price Index","2014","Mid-East including Louth - houses","Base Jan 2005 = 100","71.4"
"Residential Property Price Index","2014","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","57.1"
"Residential Property Price Index","2014","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","59.3"
"Residential Property Price Index","2014","South-West - houses","Base Jan 2005 = 100","67.7"
"Residential Property Price Index","2015","National - all residential properties","Base Jan 2005 = 100","80.1"
"Residential Property Price Index","2015","National - houses","Base Jan 2005 = 100","82.8"
"Residential Property Price Index","2015","National - apartments","Base Jan 2005 = 100","65.2"
"Residential Property Price Index","2015","Dublin - all residential properties","Base Jan 2005 = 100","84.4"
"Residential Property Price Index","2015","Dublin - houses","Base Jan 2005 = 100","89.3"
"Residential Property Price Index","2015","Dublin - apartments","Base Jan 2005 = 100","69.5"
"Residential Property Price Index","2015","Dublin City - houses","Base Jan 2005 = 100","90.1"
"Residential Property Price Index","2015","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","89.1"
"Residential Property Price Index","2015","Fingal - houses","Base Jan 2005 = 100","85.9"
"Residential Property Price Index","2015","South Dublin - houses","Base Jan 2005 = 100","90.8"
"Residential Property Price Index","2015","National excluding Dublin - all residential properties","Base Jan 2005 = 100","70.4"
